Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_first_1.61_UP,p_first_1.61_DOWN,p_first_2.5_UP,p_first_2.5_DOWN,p_first_3.6_UP,p_first_3.6_DOWN,p_first_TIE_SAME_BAR,p_first_NO_HIT_48H
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,LONG,6,30,0.3,0.23333333333333334,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 6,LONG,LONG,6,24,0.375,0.2916666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,21,0.19047619047619047,0.47619047619047616,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,21,0.09523809523809523,0.38095238095238093,0.0,0.0,0.0,0.0,0.5238095238095238,0.0
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,19,0.42105263157894735,0.21052631578947367,0.0,0.0,0.0,0.0,0.3684210526315789,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,6,17,0.29411764705882354,0.058823529411764705,0.0,0.0,0.0,0.0,0.6470588235294118,0.0
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,17,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0.0,0.5882352941176471,0.0
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 5,SHORT,SHORT,-6,16,0.0625,0.125,0.0,0.0,0.0,0.0,0.8125,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 1,Green Bar Line 6,LONG,LONG,6,16,0.0,0.0625,0.0,0.0,0.0,0.0,0.9375,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 1,Green Bar Line 5,LONG,LONG,6,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,NO TRADE,6,16,0.5,0.1875,0.0,0.0,0.0,0.0,0.25,0.0625
