Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_reach_1.61_UP,p_reach_1.61_DOWN,p_reach_2.5_UP,p_reach_2.5_DOWN,p_reach_3.6_UP,p_reach_3.6_DOWN,p_cont_UP_1.61_TO_2.5,p_cont_UP_2.5_TO_3.6,p_cont_UP_1.61_TO_3.6,p_cont_DOWN_1.61_TO_2.5,p_cont_DOWN_2.5_TO_3.6,p_cont_DOWN_1.61_TO_3.6
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,6,26,0.8846153846153846,0.8076923076923077,0.7692307692307693,0.6538461538461539,0.6923076923076923,0.5769230769230769,0.84,0.8636363636363636,0.76,0.782608695652174,0.8421052631578947,0.6956521739130435
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,23,1.0,0.7391304347826086,0.9130434782608695,0.5652173913043478,0.8260869565217391,0.4782608695652174,0.88,0.8695652173913043,0.8,0.7368421052631579,0.8,0.631578947368421
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,22,0.7727272727272727,0.8181818181818182,0.6363636363636364,0.6818181818181818,0.5,0.5,0.7894736842105263,0.75,0.631578947368421,0.8,0.7058823529411765,0.6
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,SHORT,SHORT,-6,21,0.9523809523809523,0.7619047619047619,0.8095238095238095,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.8181818181818182,0.8421052631578947,0.7272727272727273,0.8333333333333334,0.9375,0.8333333333333334
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 6,LONG,LONG,6,21,0.9523809523809523,0.9047619047619048,0.8571428571428571,0.7619047619047619,0.8095238095238095,0.7142857142857143,0.8636363636363636,0.9,0.8181818181818182,0.8095238095238095,0.8888888888888888,0.7619047619047619
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,6,20,0.9,0.8,0.85,0.65,0.75,0.6,0.9,0.8421052631578947,0.8,0.7777777777777778,0.8666666666666667,0.7222222222222222
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 5,LONG,LONG,6,20,0.9,0.8,0.75,0.75,0.6,0.65,0.8,0.7647058823529411,0.65,0.8888888888888888,0.8235294117647058,0.7777777777777778
Short,maroon,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,19,0.8947368421052632,0.5263157894736842,0.7894736842105263,0.47368421052631576,0.7368421052631579,0.3157894736842105,0.8421052631578947,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.6363636363636364,0.5833333333333334
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 5,Red Bar Line 6,SHORT,SHORT,-6,18,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.6111111111111112,0.6666666666666666,0.9444444444444444,0.6666666666666666,0.6666666666666666,0.9473684210526315,0.6842105263157895,0.6842105263157895
Long,green,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,6,18,0.7777777777777778,0.8888888888888888,0.7222222222222222,0.8333333333333334,0.6111111111111112,0.6666666666666666,0.875,0.8,0.75,0.8888888888888888,0.7647058823529411,0.7222222222222222
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 1,Red Bar Line 6,SHORT,SHORT,-6,18,0.9444444444444444,1.0,0.9444444444444444,1.0,0.9444444444444444,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.95,0.95,0.95
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 1,Green Bar Line 6,LONG,LONG,6,18,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8333333333333334,1.0,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.95,0.95,0.95
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,16,0.875,0.75,0.75,0.6875,0.625,0.625,0.8125,0.7857142857142857,0.6875,0.8571428571428571,0.8461538461538461,0.7857142857142857
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,16,0.8125,1.0,0.75,0.8125,0.6875,0.75,0.8666666666666667,0.8571428571428571,0.8,0.7777777777777778,0.8666666666666667,0.7222222222222222
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,15,0.5333333333333333,0.9333333333333333,0.4,0.8,0.26666666666666666,0.8,0.7,0.625,0.5,0.8125,0.9285714285714286,0.8125
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,LONG,6,15,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8,0.6666666666666666,0.5333333333333333,0.875,0.7333333333333333,0.6875,0.8666666666666667,0.6428571428571429,0.6
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,SHORT,NO TRADE,-6,15,0.6,0.9333333333333333,0.3333333333333333,0.7333333333333333,0.06666666666666667,0.6666666666666666,0.5454545454545454,0.2857142857142857,0.18181818181818182,0.75,0.8461538461538461,0.6875
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 3,Green Bar Line 6,LONG,LONG,6,15,0.9333333333333333,1.0,0.8666666666666667,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.875,0.9333333333333333,0.875,0.8823529411764706,0.875,0.8235294117647058
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 5,Red Bar Line 5,SHORT,SHORT,-6,14,1.0,0.8571428571428571,1.0,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.9375,0.75,0.75,0.9285714285714286,0.8571428571428571,0.8571428571428571
Short,maroon,Squeeze ON (black),maroon,Squeeze ON (black),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-1,14,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.6428571428571429,0.8571428571428571,0.8,0.7692307692307693,0.6666666666666666,0.9285714285714286,0.9285714285714286,0.9285714285714286
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,14,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.6428571428571429,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.9333333333333333,0.6666666666666666,0.6666666666666666
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,14,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.8666666666666667,0.8571428571428571,0.8,0.9285714285714286,0.7857142857142857,0.7857142857142857
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,4,14,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.8666666666666667,0.7857142857142857,0.7333333333333333,0.8571428571428571,0.8461538461538461,0.7857142857142857
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 1,SHORT,SHORT,-6,13,0.8461538461538461,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.8571428571428571,0.7692307692307693,0.7142857142857143
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 1,Red Bar Line 6,SHORT,SHORT,-6,13,1.0,0.9230769230769231,1.0,0.8461538461538461,1.0,0.8461538461538461,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8571428571428571,0.9230769230769231,0.8571428571428571
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 5,LONG,LONG,4,13,0.7692307692307693,1.0,0.6923076923076923,1.0,0.5384615384615384,0.8461538461538461,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.9333333333333333,0.8,0.8
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,LONG,LONG,4,13,0.9230769230769231,1.0,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8666666666666667,0.8571428571428571,0.8
Short,maroon,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,13,0.8461538461538461,0.8461538461538461,0.6923076923076923,0.5384615384615384,0.6153846153846154,0.46153846153846156,0.7692307692307693,0.8181818181818182,0.6923076923076923,0.6153846153846154,0.7777777777777778,0.5384615384615384
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,6,13,0.9230769230769231,0.8461538461538461,0.7692307692307693,0.6153846153846154,0.7692307692307693,0.5384615384615384,0.7857142857142857,0.9166666666666666,0.7857142857142857,0.6923076923076923,0.8,0.6153846153846154
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 5,Red Bar Line 4,SHORT,SHORT,-6,12,0.8333333333333334,1.0,0.8333333333333334,0.9166666666666666,0.75,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.8571428571428571,0.9230769230769231,0.8571428571428571
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 3,LONG,LONG,6,12,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.75,0.3333333333333333,0.8461538461538461,0.8333333333333334,0.7692307692307693,0.8,0.5555555555555556,0.5
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 4,Green Bar Line 6,LONG,LONG,6,12,1.0,0.8333333333333334,1.0,0.75,0.9166666666666666,0.6666666666666666,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.8181818181818182,0.75
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 5,LONG,LONG,6,12,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.75,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,2,12,0.75,1.0,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.7272727272727273,0.8888888888888888,0.7272727272727273,0.8571428571428571,0.9230769230769231,0.8571428571428571
Long,green,Squeeze ON (black),green,Squeeze ON (black),Red Bar Line 6,Red Bar Line 6,NO TRADE,NO TRADE,0,12,0.8333333333333334,0.8333333333333334,0.75,0.75,0.6666666666666666,0.5,0.8333333333333334,0.8181818181818182,0.75,0.8333333333333334,0.6363636363636364,0.5833333333333334
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 2,Red Bar Line 6,SHORT,SHORT,-6,12,1.0,0.6666666666666666,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8,0.8888888888888888,0.8
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,LONG,LONG,6,11,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7692307692307693,0.9090909090909091,0.7692307692307693,0.9090909090909091,0.7272727272727273,0.7272727272727273
Long,lime,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,6,11,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.5454545454545454,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8181818181818182,0.7,0.6363636363636364
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 3,Red Bar Line 6,SHORT,SHORT,-6,11,1.0,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.9166666666666666,0.9166666666666666,0.9166666666666666
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 1,Red Bar Line 5,SHORT,SHORT,-6,11,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.9230769230769231
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 1,Green Bar Line 6,LONG,LONG,6,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
Long,green,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,11,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.9090909090909091,0.6363636363636364,0.8181818181818182,0.8181818181818182,0.8,0.7272727272727273,0.9166666666666666,0.8333333333333334,0.8333333333333334
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 3,SHORT,SHORT,-6,11,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.8181818181818182,0.7,0.6363636363636364
Short,maroon,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 1,SHORT,SHORT,-6,11,0.8181818181818182,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.8,0.7272727272727273,0.8333333333333334,0.7272727272727273,0.6666666666666666
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 5,SHORT,SHORT,-6,11,1.0,1.0,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.6363636363636364,0.7692307692307693,0.9090909090909091,0.7692307692307693,0.8461538461538461,0.6666666666666666,0.6153846153846154
Short,maroon,Squeeze OFF (gray),maroon,Squeeze OFF (gray),Green Bar Line 1,Green Bar Line 6,SHORT,SHORT,-4,10,0.9,1.0,0.9,1.0,0.9,1.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9166666666666666,0.9166666666666666,0.9166666666666666
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 1,SHORT,SHORT,-6,10,1.0,0.9,1.0,0.8,0.8,0.6,0.9166666666666666,0.75,0.75,0.8181818181818182,0.7,0.6363636363636364
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 1,Red Bar Line 4,SHORT,SHORT,-6,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
Short,maroon,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,SHORT,SHORT,-6,10,0.9,1.0,0.9,1.0,0.8,0.8,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.9166666666666666,0.75,0.75
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 5,SHORT,SHORT,-6,10,0.8,0.9,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.8181818181818182,0.8,0.7272727272727273
Long,lime,Squeeze ON (black),lime,Squeeze ON (black),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,10,0.9,0.8,0.8,0.8,0.7,0.8,0.8181818181818182,0.8,0.7272727272727273,0.9,0.9,0.9
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,LONG,LONG,4,10,1.0,0.5,1.0,0.5,0.8,0.3,0.9166666666666666,0.75,0.75,0.8571428571428571,0.5714285714285714,0.5714285714285714
Short,maroon,Squeeze OFF (gray),maroon,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,SHORT,SHORT,-4,10,1.0,1.0,1.0,0.8,1.0,0.8,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.9,0.75
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 5,SHORT,SHORT,-6,10,1.0,0.9,1.0,0.7,1.0,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.7272727272727273,0.6666666666666666,0.5454545454545454
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 3,Green Bar Line 6,LONG,LONG,6,10,1.0,0.9,0.9,0.9,0.9,0.9,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 4,Red Bar Line 6,SHORT,SHORT,-6,10,1.0,0.8,0.9,0.7,0.8,0.7,0.8333333333333334,0.8181818181818182,0.75,0.8,0.8888888888888888,0.8
Short,lime,Squeeze ON (black),lime,Squeeze ON (black),Green Bar Line 6,Red Bar Line 6,NO TRADE,NO TRADE,0,10,1.0,0.8,0.9,0.4,0.9,0.4,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.5,0.8333333333333334,0.5
Short,red,Squeeze ON (black),red,Squeeze ON (black),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,9,0.8888888888888888,0.8888888888888888,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.6,0.5714285714285714,0.4,0.9,0.6,0.6
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 4,LONG,LONG,6,9,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.8,0.7777777777777778,0.7,0.9,0.7,0.7
