Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_reach_1.61_UP,p_reach_1.61_DOWN,p_reach_2.5_UP,p_reach_2.5_DOWN,p_reach_3.6_UP,p_reach_3.6_DOWN,p_cont_UP_1.61_TO_2.5,p_cont_UP_2.5_TO_3.6,p_cont_UP_1.61_TO_3.6,p_cont_DOWN_1.61_TO_2.5,p_cont_DOWN_2.5_TO_3.6,p_cont_DOWN_1.61_TO_3.6
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,6,27,0.8518518518518519,0.8518518518518519,0.7037037037037037,0.7777777777777778,0.6666666666666666,0.7037037037037037,0.8,0.9047619047619048,0.76,0.88,0.8695652173913043,0.8
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,25,0.96,0.96,0.76,0.84,0.64,0.8,0.7692307692307693,0.8095238095238095,0.6538461538461539,0.8461538461538461,0.9130434782608695,0.8076923076923077
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,24,0.9166666666666666,0.875,0.7916666666666666,0.7083333333333334,0.625,0.625,0.8333333333333334,0.7619047619047619,0.6666666666666666,0.782608695652174,0.8421052631578947,0.6956521739130435
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,22,0.9545454545454546,0.8181818181818182,0.8636363636363636,0.6363636363636364,0.7727272727272727,0.4090909090909091,0.8695652173913043,0.8571428571428571,0.782608695652174,0.75,0.625,0.5
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,20,0.75,0.85,0.7,0.75,0.6,0.55,0.8823529411764706,0.8125,0.7647058823529411,0.8421052631578947,0.7058823529411765,0.631578947368421
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 3,Red Bar Line 6,SHORT,SHORT,-6,19,1.0,0.8947368421052632,1.0,0.7894736842105263,0.9473684210526315,0.7368421052631579,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.8421052631578947,0.8823529411764706,0.7894736842105263
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 6,LONG,LONG,6,17,1.0,0.8235294117647058,0.9411764705882353,0.7058823529411765,0.8235294117647058,0.6470588235294118,0.8947368421052632,0.8333333333333334,0.7894736842105263,0.8125,0.8571428571428571,0.75
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,16,0.9375,0.6875,0.875,0.625,0.75,0.4375,0.8823529411764706,0.8125,0.7647058823529411,0.8461538461538461,0.6666666666666666,0.6153846153846154
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 1,Red Bar Line 6,SHORT,SHORT,-6,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 1,Red Bar Line 5,SHORT,SHORT,-6,15,0.8666666666666667,1.0,0.8,1.0,0.8,1.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,0.9411764705882353,0.9411764705882353,0.9411764705882353
