Trend,SQZMOM 1 Momentum,SQZMOM 1 Squeeze,SQZMOM 2 Momentum,SQZMOM 2 Squeeze,Bar 1,Bar 2,Raw Position,Final Position,Score,match_count,p_reach_1.61_UP,p_reach_1.61_DOWN,p_reach_2.5_UP,p_reach_2.5_DOWN,p_reach_3.6_UP,p_reach_3.6_DOWN,p_cont_UP_1.61_TO_2.5,p_cont_UP_2.5_TO_3.6,p_cont_UP_1.61_TO_3.6,p_cont_DOWN_1.61_TO_2.5,p_cont_DOWN_2.5_TO_3.6,p_cont_DOWN_1.61_TO_3.6
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,LONG,6,144,0.9444444444444444,0.8402777777777778,0.8472222222222222,0.7222222222222222,0.7430555555555556,0.5972222222222222,0.8913043478260869,0.8709677419354839,0.782608695652174,0.8536585365853658,0.8207547169811321,0.7073170731707317
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,55,0.7636363636363637,0.9272727272727272,0.6545454545454545,0.7818181818181819,0.5818181818181818,0.6727272727272727,0.8409090909090909,0.868421052631579,0.75,0.8301886792452831,0.8444444444444444,0.7169811320754716
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 5,LONG,LONG,6,53,0.9811320754716981,0.8113207547169812,0.8679245283018868,0.7547169811320755,0.7735849056603774,0.6415094339622641,0.8703703703703703,0.875,0.7777777777777778,0.9111111111111111,0.8333333333333334,0.7777777777777778
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,SHORT,SHORT,-6,47,0.8723404255319149,0.851063829787234,0.8297872340425532,0.7659574468085106,0.723404255319149,0.5957446808510638,0.9302325581395349,0.8536585365853658,0.813953488372093,0.8809523809523809,0.7631578947368421,0.6904761904761905
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 6,LONG,LONG,6,46,0.9347826086956522,0.8695652173913043,0.8913043478260869,0.782608695652174,0.8043478260869565,0.717391304347826,0.9333333333333333,0.8837209302325582,0.8444444444444444,0.8809523809523809,0.8947368421052632,0.8095238095238095
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 3,Green Bar Line 6,LONG,LONG,6,45,0.9777777777777777,0.9333333333333333,0.9555555555555556,0.8888888888888888,0.9111111111111111,0.8666666666666667,0.9565217391304348,0.9333333333333333,0.9130434782608695,0.9318181818181818,0.9523809523809523,0.9090909090909091
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,LONG,LONG,6,41,0.8048780487804879,0.8780487804878049,0.7317073170731707,0.8048780487804879,0.5365853658536586,0.6829268292682927,0.8857142857142857,0.71875,0.6571428571428571,0.8947368421052632,0.8285714285714286,0.7631578947368421
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,NO TRADE,6,32,0.875,0.625,0.75,0.375,0.53125,0.3125,0.8333333333333334,0.6923076923076923,0.6,0.5909090909090909,0.7857142857142857,0.5
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Red Bar Line 5,SHORT,SHORT,-6,32,0.84375,0.9375,0.75,0.84375,0.6875,0.6875,0.8620689655172413,0.8846153846153846,0.7931034482758621,0.875,0.7931034482758621,0.71875
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Green Bar Line 5,Red Bar Line 6,SHORT,SHORT,-6,32,0.96875,0.8125,0.875,0.75,0.875,0.65625,0.8787878787878788,0.9666666666666667,0.8787878787878788,0.8928571428571429,0.8461538461538461,0.7857142857142857
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 2,Green Bar Line 6,LONG,LONG,6,31,0.967741935483871,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9032258064516129,0.96875,0.96875,0.96875,0.9393939393939394,0.90625,0.8787878787878788
Short,red,Squeeze OFF (gray),red,Squeeze OFF (gray),Red Bar Line 6,Green Bar Line 6,SHORT,SHORT,-6,31,0.8064516129032258,0.8709677419354839,0.7419354838709677,0.7096774193548387,0.5806451612903226,0.6451612903225806,0.8888888888888888,0.76,0.7037037037037037,0.7931034482758621,0.875,0.7241379310344828
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 5,Green Bar Line 6,LONG,LONG,6,31,0.8709677419354839,1.0,0.8387096774193549,1.0,0.6451612903225806,0.9032258064516129,0.9310344827586207,0.75,0.7241379310344828,0.9696969696969697,0.8787878787878788,0.8787878787878788
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Green Bar Line 5,Green Bar Line 5,LONG,LONG,6,30,0.9666666666666667,0.8,0.9666666666666667,0.7,0.8333333333333334,0.5333333333333333,0.967741935483871,0.8387096774193549,0.8387096774193549,0.8461538461538461,0.7391304347826086,0.6538461538461539
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Green Bar Line 6,LONG,LONG,4,28,1.0,0.8214285714285714,0.9285714285714286,0.75,0.7857142857142857,0.6785714285714286,0.9,0.8214285714285714,0.7666666666666667,0.88,0.8695652173913043,0.8
Long,green,Squeeze OFF (gray),green,Squeeze OFF (gray),Green Bar Line 6,Red Bar Line 6,LONG,LONG,4,28,0.9285714285714286,0.8571428571428571,0.7857142857142857,0.8214285714285714,0.6428571428571429,0.6428571428571429,0.8214285714285714,0.7916666666666666,0.6785714285714286,0.9230769230769231,0.76,0.7307692307692307
Long,lime,Squeeze OFF (gray),lime,Squeeze OFF (gray),Red Bar Line 4,Green Bar Line 6,LONG,LONG,6,27,0.9629629629629629,0.9259259259259259,0.8888888888888888,0.8148148148148148,0.7777777777777778,0.7777777777777778,0.8928571428571429,0.8461538461538461,0.7857142857142857,0.8518518518518519,0.9166666666666666,0.8148148148148148
